time,co2/cap/year-sum,,Toooes of CO2
1800,2.28274,,
1801,2.25532,,
1802,4.34088,,
1803,2.47787,,
1804,2.55611,,
1805,2.55254,,
1806,2.64511,,
1807,2.73016,,
1808,2.58537,,
1809,2.55398,,
1810,2.58558,,
1811,2.71176,,
1812,2.76615,,
1813,2.74947,,
1814,2.77744,,
1815,2.82198,,
1816,3.02267,,
1817,3.07045,,
1818,3.05607,,
1819,3.08734,,
1820,3.09873,,
1821,3.10668,,
1822,3.18689,,
1823,3.32734,,
1824,3.42403,,
1825,3.48108,,
1826,3.48823,,
1827,3.65429,,
1828,3.6368,,
1829,3.61309,,
1830,6.10793,,
1831,5.42758,,
1832,5.48346,,
1833,5.43679,,
1834,5.43501,,
1835,5.55572,,
1836,6.37964,,
1837,6.38155,,
1838,6.53558,,
1839,6.83173,,
1840,7.31937,,
1841,7.37335,,
1842,7.7069,,
1843,7.7327,,
1844,8.29361,,
1845,8.96078,,
1846,10.01904,,
1847,10.86688,,
1848,10.81675,,
1849,11.07182,,
1850,11.71607,,
1851,11.76064,,
1852,12.50492,,
1853,13.00471,,
1854,15.22478,,
1855,15.03216,,
1856,15.81918,,
1857,15.89304,,
1858,16.3069,,
1859,16.83492,,
1860,18.53184,,
1861,19.71915,,
1862,19.9727,,
1863,20.48582,,
1864,21.19939,,
1865,22.69618,,
1866,23.43641,,
1867,25.12842,,
1868,25.12047,,
1869,26.12202,,
1870,27.61241,,
1871,29.37786,,
1872,31.47497,,
1873,32.94269,,
1874,31.08148,,
1875,32.93285,,
1876,34.48951,,
1877,34.48119,,
1878,35.51089,,
1879,37.74699,,
1880,45.18755,,
1881,43.49322,,
1882,45.29148,,
1883,48.22625,,
1884,48.51728,,
1885,48.96503,,
1886,48.81725,,
1887,50.99679,,
1888,55.02457,,
1889,55.77102,,
1890,58.67566,,
1891,61.12118,,
1892,60.84253,,
1893,60.7168,,
1894,63.56829,,
1895,66.01606,,
1896,68.42837,,
1897,71.55455,,
1898,74.64212,,
1899,79.55724,,
1900,83.3395,,
1901,84.944,,
1902,85.89086,,
1903,89.67703,,
1904,91.61837,,
1905,93.45599,,
1906,99.78269,,
1907,108.94219,,
1908,111.31848,,
1909,109.25508,,
1910,114.92124,,
1911,116.22015,,
1912,122.26725,,
1913,130.75699,,
1914,116.6742,,
1915,110.45218,,
1916,113.74501,,
1917,107.39545,,
1918,102.81239,,
1919,93.6795,,
1920,108.94793,,
1921,100.62322,,
1922,105.69952,,
1923,115.35113,,
1924,123.46462,,
1925,122.27268,,
1926,120.49587,,
1927,134.02429,,
1928,136.72181,,
1929,147.57292,,
1930,139.44132,,
1931,128.94141,,
1932,120.4913,,
1933,126.41911,,
1934,140.76561,,
1935,150.05144,,
1936,175.42864,,
1937,207.78887,,
1938,205.25345,,
1939,279.84353,,
1940,292.32275,,
1941,256.6301,,
1942,228.1043,,
1943,252.61031,,
1944,259.62361,,
1945,194.98651,,
1946,252.31296,,
1947,409.50974,,
1948,244.05848,,
1949,514.16454,,
1950,411.76835,,
1951,463.87662,,
1952,423.53537,,
1953,357.58702,,
1954,469.00421,,
1955,502.04227,,
1956,520.14542,,
1957,528.0566,,
1958,558.48417,,
1959,439.77724,,
1960,508.92709,,
1961,515.75581,,
1962,486.90646,,
1963,593.43062,,
1964,626.71791,,
1965,647.5849,,
1966,650.94364,,
1967,669.11114,,
1968,695.84635,,
1969,812.3628,,
1970,946.45072,,
1971,1012.15178,,
1972,1033.87956,,
1973,1078.55439,,
1974,1063.04515,,
1975,1044.92134,,
1976,1041.56121,,
1977,1034.64236,,
1978,1041.25234,,
1979,1054.11302,,
1980,1031.68861,,
1981,949.22731,,
1982,903.00585,,
1983,878.62871,,
1984,847.54627,,
1985,871.51527,,
1986,878.16812,,
1987,890.76531,,
1988,923.83399,,
1989,949.82483,,
1990,943.30962,,
1991,933.13912,,
1992,997.10658,,
1993,1007.86476,,
1994,999.842,,
1995,993.4856,,
1996,996.80928,,
1997,1001.09278,,
1998,1001.56907,,
1999,989.82314,,
2000,1020.36184,,
2001,1036.89274,,
2002,1036.46168,,
2003,1064.72429,,
2004,1075.59218,,
2005,1084.97425,,
2006,1100.73212,,
2007,1113.23256,,
2008,1115.58604,,
2009,1068.31896,,
2010,1095.66474,,
2011,1079.32814,,
2012,1084.86296,,
2013,1072.52086,,
2014,1071.97492,,
Grand Total,66311.93702,,