Year,LandAverageTemperature
1750,8.719363636
1751,7.976142857
1752,5.779833333
1753,8.388083333
1754,8.469333333
1755,8.355583333
1756,8.849583333
1757,9.022
1758,6.743583333
1759,7.985083333
1760,7.185166667
1761,8.7725
1762,8.6065
1763,7.49675
1764,8.400333333
1765,8.251916667
1766,8.405666667
1767,8.2215
1768,6.781333333
1769,7.694583333
1770,7.691916667
1771,7.853166667
1772,8.1935
1773,8.2215
1774,8.772166667
1775,9.183083333
1776,8.304
1777,8.25625
1778,8.54225
1779,8.98325
1780,9.432916667
1781,8.102583333
1782,7.90125
1783,7.680833333
1784,7.862
1785,7.363
1786,8.258166667
1787,8.031833333
1788,8.447166667
1789,8.334166667
1790,7.982333333
1791,8.23425
1792,8.089
1793,8.229166667
1794,8.526
1795,8.350333333
1796,8.271
1797,8.510583333
1798,8.67025
1799,8.50575
1800,8.48425
1801,8.589666667
1802,8.578166667
1803,8.503
1804,8.844833333
1805,8.56275
1806,8.434083333
1807,8.281416667
1808,7.626833333
1809,7.076416667
1810,6.922666667
1811,6.8595
1812,7.04625
1813,7.739916667
1814,7.59175
1815,7.239333333
1816,6.9375
1817,6.975666667
1818,7.828916667
1819,7.369166667
1820,7.61625
1821,8.090083333
1822,8.188333333
1823,7.718666667
1824,8.547166667
1825,8.389333333
1826,8.356583333
1827,8.80875
1828,8.165333333
1829,7.941833333
1830,8.51675
1831,7.639166667
1832,7.450166667
1833,8.013
1834,8.14675
1835,7.3925
1836,7.695833333
1837,7.375666667
1838,7.514916667
1839,7.63225
1840,7.79625
1841,7.688166667
1842,8.02275
1843,8.173666667
1844,7.646333333
1845,7.851166667
1846,8.55275
1847,8.086
1848,7.9795
1849,7.984416667
1850,7.900666667
1851,8.178583333
1852,8.100166667
1853,8.041833333
1854,8.2105
1855,8.11075
1856,7.995916667
1857,7.758166667
1858,8.10025
1859,8.252
1860,7.960833333
1861,7.8465
1862,7.558583333
1863,8.111833333
1864,7.983583333
1865,8.177833333
1866,8.292166667
1867,8.436333333
1868,8.247916667
1869,8.432083333
1870,8.201333333
1871,8.115083333
1872,8.193833333
1873,8.351083333
1874,8.4335
1875,7.859583333
1876,8.080083333
1877,8.539583333
1878,8.82975
1879,8.165833333
1880,8.11875
1881,8.270916667
1882,8.128916667
1883,7.976916667
1884,7.773666667
1885,7.919666667
1886,7.9545
1887,7.914916667
1888,8.0905
1889,8.319
1890,7.971666667
1891,8.019333333
1892,8.065833333
1893,8.05675
1894,8.161
1895,8.147
1896,8.214916667
1897,8.293333333
1898,8.178
1899,8.396333333
1900,8.501583333
1901,8.541916667
1902,8.304416667
1903,8.220166667
1904,8.090916667
1905,8.225166667
1906,8.379083333
1907,7.947166667
1908,8.186083333
1909,8.17825
1910,8.223
1911,8.177
1912,8.165416667
1913,8.29775
1914,8.5905
1915,8.593166667
1916,8.22525
1917,8.023333333
1918,8.130833333
1919,8.38225
1920,8.35875
1921,8.571
1922,8.408
1923,8.422166667
1924,8.506833333
1925,8.534416667
1926,8.728833333
1927,8.522083333
1928,8.632166667
1929,8.242416667
1930,8.633583333
1931,8.71925
1932,8.70525
1933,8.33825
1934,8.628333333
1935,8.51575
1936,8.554
1937,8.698333333
1938,8.863666667
1939,8.760333333
1940,8.764666667
1941,8.768666667
1942,8.728416667
1943,8.755083333
1944,8.845
1945,8.584833333
1946,8.676916667
1947,8.797083333
1948,8.74675
1949,8.58675
1950,8.36525
1951,8.625666667
1952,8.63825
1953,8.87375
1954,8.560666667
1955,8.62625
1956,8.279583333
1957,8.7325
1958,8.77375
1959,8.732666667
1960,8.58375
1961,8.797666667
1962,8.745916667
1963,8.856
1964,8.409666667
1965,8.527416667
1966,8.599333333
1967,8.700083333
1968,8.516333333
1969,8.595083333
1970,8.700916667
1971,8.59925
1972,8.499583333
1973,8.94825
1974,8.4675
1975,8.744833333
1976,8.34725
1977,8.85025
1978,8.69275
1979,8.733416667
1980,8.980333333
1981,9.165833333
1982,8.639166667
1983,9.028166667
1984,8.691833333
1985,8.658
1986,8.833583333
1987,8.994416667
1988,9.201583333
1989,8.922
1990,9.234166667
1991,9.179416667
1992,8.836583333
1993,8.866583333
1994,9.03875
1995,9.347083333
1996,9.038916667
1997,9.202583333
1998,9.522666667
1999,9.285083333
2000,9.201166667
2001,9.414583333
2002,9.570416667
2003,9.525583333
2004,9.324583333
2005,9.700916667
2006,9.5325
2007,9.732166667
2008,9.43175
2009,9.50525
2010,9.703083333
2011,9.516
2012,9.507333333
2013,9.6065
2014,9.570666667
2015,9.831